URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1240.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1796.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0464.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0178.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0402.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1764.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1078.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0820.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1799.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1468.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0886.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0968.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0779.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0991.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1178.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1082.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1160.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1083.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0243.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1951.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0859.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0184.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1895.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0932.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0349.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0714.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1680.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1937.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0963.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1128.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1261.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1746.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1851.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0304.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1975.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0845.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1882.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1237.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0337.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0696.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1467.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1475.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0612.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0117.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0066.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1638.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1344.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1051.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0630.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0863.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1390.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1498.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1661.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0634.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1168.htm","<!-- .style1 { font-size: small; font-family: Verdana, Arial, Helvetica, sans-serif; } -->"
