URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1962.htm",Fleming's Prime Steakhouse & Wine Bar Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1005.htm",Tutti Gelati Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0337.htm",40 Carrots Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1171.htm",Z'Tejas Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1467.htm",Hoku's Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0910.htm",Udipi Caf̩ Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0715.htm",Steakhouse 55 Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0820.htm",TusCA Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1051.htm",Kihachi Japanese Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0754.htm",Taleo Mexican Grill Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0307.htm",Asa Ransom House Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0786.htm",Pinkberry Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1609.htm",Le St. Germain Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0267.htm",Elena Wu Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1594.htm",The Olive Kitchen + Bar Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0846.htm",Thomas Henkelmann Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1692.htm",Oro Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0495.htm",Fleming's Prime Steakhouse & Wine Bar Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0211.htm",Epoch Restaurant & Bar is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0730.htm",Mesa Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1110.htm",The Grille Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1244.htm",Broadway Caf̩ Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0660.htm",The Inn at Little Washington Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0443.htm",ENO Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1122.htm",Mikaku Sushi Taro Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1866.htm",French American Brasserie Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1188.htm",Wasa Sushi Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0184.htm",Safire Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1470.htm",Japanese Restaurant & Bar Shokudo is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0906.htm",Madras Chettinaad Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0697.htm",The Admiralty Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1272.htm",Henninger's Tavern Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1614.htm",E. 48th Street Market Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0641.htm",Can Can Brasserie Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1986.htm",A.R. Valentien Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0375.htm",Common House Neighborhood Restaurant & Bar is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0714.htm",Roy's Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0352.htm",The American Hotel Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0049.htm",Barney Greengrass Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1400.htm",Rancho Pinot Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0686.htm",Hudson's Bar & Grill Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1950.htm",ENO Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1793.htm","Cravings, The Ultimate Buffet Dining Experience Restaurant is one of our |"
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0504.htm",The Dining Room at the Castle Hill Inn & Resort Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1741.htm",Sweet Rose Creamery Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1851.htm",Tiato Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0752.htm",Prego Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1086.htm",Caf̩ Pacific Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0760.htm",Splashes Restaurant is one of our |
