URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1240.htm",The Palm Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1796.htm",Ãko Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0464.htm",Lautrec Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0178.htm",Em Chamas Brazilian Grill Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0402.htm",The Baricelli Inn Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1764.htm",Crust Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1078.htm",Flight Restaurant & Wine Bar is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0820.htm",TusCA Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1799.htm",Aureole Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1468.htm",Indigo Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0886.htm",The Capital Grille Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0968.htm",Chez Henri Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0779.htm",Kitayama Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0991.htm",Heartland Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1178.htm",Sushi on the Rock Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1082.htm",Jeffrey's Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1160.htm",Mastro's Steakhouse Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0243.htm",The Village Fish House Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1083.htm",Kenichi's Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1951.htm",Everest Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0859.htm",Sergio's Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0184.htm",Safire Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1895.htm",ReBar Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0932.htm",Billy Goat Tavern & Grill Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0714.htm",Roy's Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0349.htm",Morgan's Fish House Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1680.htm",Vespaio Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1937.htm",Morton's The Steakhouse Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0963.htm",Bin 26 Enoteca Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1261.htm",Blue Fin Sushi Bar Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1128.htm",Joeâs Burgers Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1746.htm",YUCA Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1851.htm",Tiato Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0304.htm",India Gate Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0845.htm",Solaia Enoteca e Ristorante Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1975.htm",Papa Haydn Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1237.htm",Lario's on the Beach Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1882.htm",La Sultana Bakery Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0337.htm",40 Carrots Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/0696.htm",Mosaic Restaurant & Wine Lounge is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1467.htm",Hoku's Restaurant is one of our |
"/media/Dados/bases/SWDE/restaurant/restaurant-gayot/1475.htm",CafÃ© Matou Restaurant is one of our |
