URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0283.htm",| 20
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0388.htm",| 21
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0267.htm",| 20
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0009.htm",| 44
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0121.htm",| 44
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0360.htm",| 42
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0147.htm",| 21
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0378.htm",| 21
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0412.htm",| 20
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0048.htm",| 42
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0252.htm",| 21
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0196.htm",| 42
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0387.htm",| 21
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0414.htm",| 44
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0389.htm",| 42
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0257.htm",| 21
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0335.htm",| 20
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0174.htm",| 44
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0415.htm",| 15
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0079.htm",| 44
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0015.htm",| 21
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0173.htm",| 42
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0239.htm",| 44
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0161.htm",| 50
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0164.htm",| 34
