URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0330.htm",) | 14
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0171.htm",| 4
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0342.htm",| 1953:
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0293.htm",| 5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0198.htm",| 5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0377.htm",) | 12
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0320.htm",| 4
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0158.htm",| 4
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0082.htm",| 1953:
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0240.htm",| 4
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0386.htm",| 1988:
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0110.htm",) | 12
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0123.htm",| 4
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0094.htm",| 2
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0144.htm",| 11
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0192.htm",| 14
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0075.htm",| 11
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0140.htm",| 13
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0107.htm",| 5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0292.htm",| 12
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0071.htm",| 14
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0349.htm",) | 14
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0152.htm",| 2
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0060.htm",| 5
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0179.htm",| 11
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0033.htm",| 2
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0164.htm",| 13
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0398.htm",) | 14
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0052.htm",| 12
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0286.htm",| 5
