URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0330.htm",| 25
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0171.htm",| 32
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0342.htm",| 1956:
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0293.htm",| 21
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0198.htm",| 21
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0377.htm",| 33
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0320.htm",| 32
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0158.htm",| 32
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0082.htm",| 1956:
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0240.htm",| 32
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0386.htm",| 1991:
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0110.htm",| 33
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0123.htm",| 32
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0094.htm",| 11
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0144.htm",) | 15
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0192.htm",| 22
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0075.htm",| 21
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0140.htm",| 31
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0107.htm",| 21
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0292.htm",| 21
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0071.htm",| 22
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0349.htm",| 25
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0152.htm",| 11
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0060.htm",| 21
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0179.htm",| 15
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0033.htm",| 11
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0164.htm",| 24
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0398.htm",| 25
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0052.htm",| 21
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0286.htm",| 21
