URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0330.htm",| 42
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0171.htm",| 45
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0342.htm",| 1958:
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0293.htm",) | 32
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0198.htm",| 31
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0377.htm",| 45
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0320.htm",| 45
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0158.htm",| 45
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0082.htm",| 1958:
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0240.htm",| 45
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0386.htm",| 1993:
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0110.htm",| 45
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0123.htm",| 45
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0094.htm",| 22
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0144.htm",| 33
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0192.htm",) | 34
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0075.htm",| 33
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0140.htm",| 34
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0107.htm",| 31
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0292.htm",| 34
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0071.htm",) | 34
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0349.htm",| 42
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0152.htm",| 22
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0060.htm",) | 32
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0179.htm",| 34
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0033.htm",| 22
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0164.htm",| 40
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0398.htm",| 42
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0052.htm",| 34
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0286.htm",) | 32
