URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0283.htm",| 12
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0388.htm",| 9
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0267.htm",| 12
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0009.htm",| 28
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0121.htm",| 28
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0360.htm",| 25
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0147.htm",| 9
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0378.htm",| 9
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0412.htm",| 12
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0048.htm",| 25
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0252.htm",| 9
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0196.htm",| 25
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0387.htm",| 9
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0414.htm",| 28
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0389.htm",| 25
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0335.htm",| 12
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0257.htm",| 9
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0174.htm",| 28
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0415.htm",| 10
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0079.htm",| 28
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0015.htm",| 9
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0173.htm",| 25
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0239.htm",| 28
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0161.htm",| 21
"/media/Dados/bases/SWDE/nbaplayer/nbaplayer-wiki/0164.htm",| 14
